name,type,dno,ss_voltages,proposed_voltage,connection_status,total_demand_number,total_demand_capacity_mw,total_generation_number,total_generation_capacity_mw
Lime Tree Place,primary,NGED,"['11', '33']",11,pending,1,1.3,0,0
Skegby Lane,primary,NGED,"['11', '33']",11,pending,1,1.1,0,0
Staveley,bsp,NGED,['33'],33,pending,0,0,1,9.2
Erin Road,primary,NGED,[],11,pending,1,5,0,0
Whitwell,bsp,NGED,['33'],33,pending,0,0,1,10
Coventry,gsp,NGED,['132'],132,pending,2,59,2,148.99
Coventry Arena,primary,NGED,"['11', '33']",11,pending,1,3,0,0
Coventry North,primary,NGED,['11'],11,pending,1,1.5,0,0
Crick,primary,NGED,"['11', '33']",11,pending,2,2.5,0,0
Hinckley,primary,NGED,['11'],11,pending,1,1.5,0,0
Middlefield,primary,NGED,"['11', '33']",11,pending,3,4.65,1,1.215
Sapcote,primary,NGED,"['11', '33']",11,pending,3,12.618,0,0
Gipsy Lane,primary,NGED,"['11', '33']",11,pending,1,1.5,0,0
Newdigate,primary,NGED,"['11', '33']",11,pending,3,3.487,0,0
Nuneaton,primary,NGED,['11'],11,pending,1,1,0,0
Pailton,bsp,NGED,['33'],33,pending,1,10,1,10
Magna Park,primary,NGED,"['11', '33']",11,pending,3,14.3,0,0
Rugby,primary,NGED,['11'],11,pending,1,1.25,0,0
Rugby,bsp,NGED,['33'],33,pending,1,15,0,0
Rugby Gateway,primary,NGED,[],11,pending,1,6,0,0
Union Street,primary,NGED,"['11', '33']",11,pending,3,5.545,0,0
Dillotford Ave,primary,NGED,"['11', '33']",11,pending,1,1.6,0,0
Burton,primary,NGED,['11'],11,pending,1,3.661,0,0
Hatton,primary,NGED,"['11', '33']",11,pending,3,5.61,0,0
Trent Alloys,primary,NGED,"['11', '33']",11,pending,1,1.25,0,0
Barton Under Needwood,primary,NGED,"['11', '33']",11,pending,2,7.65,0,0
Wellington Street,primary,NGED,"['11', '33']",11,pending,1,1.29,0,0
Ashby,primary,NGED,"['11', '33']",11,pending,2,5.694,0,0
Gresley,primary,NGED,['11'],11,pending,1,1.5,0,0
